
*************************************************************************************

10.10.2020 06:33:56.801 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:33:56.857 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:33:56.919 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:33:56.984 действие: Энергия корабля уменьшена на 1 единиц, и равна 100 
10.10.2020 06:33:58.412 действие: Энергия корабля уменьшена на 3 единиц, и равна 100 
10.10.2020 06:33:58.919 действие: Энергия корабля уменьшена на 5 единиц, и равна 100 
10.10.2020 06:34:00.600 действие: Энергия корабля уменьшена на 8 единиц, и равна 100 
10.10.2020 06:34:02.292 действие: Энергия корабля уменьшена на 7 единиц, и равна 100 
10.10.2020 06:34:03.911 действие: Энергия корабля уменьшена на 6 единиц, и равна 100 
10.10.2020 06:34:04.855 действие: Энергия корабля уменьшена на 2 единиц, и равна 100 
10.10.2020 06:34:05.788 действие: Энергия корабля уменьшена на 2 единиц, и равна 100 
10.10.2020 06:34:06.169 действие: Энергия корабля уменьшена на 1 единиц, и равна 100 

*************************************************************************************

10.10.2020 06:38:33.965 действие: Энергия корабля уменьшена на 1 единиц, и равна 100 
10.10.2020 06:38:35.832 действие: Энергия корабля уменьшена на 6 единиц, и равна 100 
10.10.2020 06:38:36.274 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 06:41:28.126 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.188 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.251 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.308 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.372 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.435 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.501 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.555 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.618 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.689 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.742 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.807 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.867 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.933 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:28.995 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:29.056 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:29.118 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:29.180 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:29.242 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:29.305 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:29.370 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:29.434 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.057 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.120 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.184 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.249 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.313 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.372 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.436 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.502 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.564 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.620 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.686 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.746 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.809 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.873 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:33.937 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:34.007 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:34.058 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:34.122 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:34.193 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:34.251 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:34.312 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:41:34.372 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 

*************************************************************************************

10.10.2020 06:42:06.360 действие: Энергия корабля уменьшена на 7 единиц, и равна 100 
10.10.2020 06:42:13.543 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:42:18.799 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:42:23.986 действие: Энергия корабля уменьшена на 6 единиц, и равна 100 
10.10.2020 06:42:29.172 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:42:38.739 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
10.10.2020 06:42:42.231 действие: Энергия корабля уменьшена на 7 единиц, и равна 100 
10.10.2020 06:42:42.549 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 06:43:38.312 действие: Энергия корабля уменьшена на 6 единиц, и равна 100 
10.10.2020 06:43:40.184 действие: Энергия корабля уменьшена на 4 единиц, и равна 100 
10.10.2020 06:43:41.303 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 07:02:38.093 действие: Энергия корабля уменьшена на 5 единиц, и равна 100 
10.10.2020 07:02:45.085 действие: Энергия корабля уменьшена на 5 единиц, и равна 100 

*************************************************************************************

10.10.2020 07:18:15.514 действие: Энергия корабля уменьшена на 5 единиц, и равна 100 
10.10.2020 07:18:19.446 действие: Энергия корабля уменьшена на 5 единиц, и равна 100 
10.10.2020 07:18:21.066 действие: Энергия корабля уменьшена на 4 единиц, и равна 100 
10.10.2020 07:18:30.757 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 07:19:42.155 действие: Энергия корабля уменьшена на 5 единиц, и равна 100 
10.10.2020 07:19:42.965 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 07:20:14.043 действие: Энергия корабля уменьшена на 4 единиц, и равна 100 
10.10.2020 07:20:18.727 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 07:22:35.015 действие: Энергия корабля уменьшена на 7 единиц, и равна 100 
10.10.2020 07:22:35.574 действие: Энергия корабля увеличена на 20 единиц, и равна 120 
10.10.2020 07:22:35.574 действие: Энергия корабля увеличена на 20 единиц, и равна 140 
10.10.2020 07:22:35.574 действие: Энергия корабля увеличена на 20 единиц, и равна 160 
10.10.2020 07:22:35.574 действие: Энергия корабля увеличена на 20 единиц, и равна 180 
10.10.2020 07:22:35.697 действие: Энергия корабля увеличена на 20 единиц, и равна 200 
10.10.2020 07:22:38.890 действие: Энергия корабля уменьшена на 4 единиц, и равна 200 
10.10.2020 07:22:38.948 действие: Энергия корабля увеличена на 20 единиц, и равна 220 

*************************************************************************************

10.10.2020 07:23:08.403 действие: Энергия корабля уменьшена на 6 единиц, и равна 100 
10.10.2020 07:23:12.397 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 07:24:19.090 действие: Энергия корабля увеличена на 20 единиц, и равна 120 
10.10.2020 07:24:19.398 действие: Энергия корабля уменьшена на 7 единиц, и равна 120 
10.10.2020 07:24:21.709 действие: Энергия корабля уменьшена на 4 единиц, и равна 120 
10.10.2020 07:24:27.083 действие: Энергия корабля уменьшена на 4 единиц, и равна 120 
10.10.2020 07:24:29.895 действие: Энергия корабля уменьшена на 5 единиц, и равна 120 
10.10.2020 07:24:33.143 действие: Энергия корабля уменьшена на 5 единиц, и равна 120 
10.10.2020 07:24:35.277 действие: Энергия корабля уменьшена на 5 единиц, и равна 120 
10.10.2020 07:24:40.895 действие: Энергия корабля увеличена на 20 единиц, и равна 140 
10.10.2020 07:24:40.956 действие: Энергия корабля уменьшена на 6 единиц, и равна 140 

*************************************************************************************

10.10.2020 07:24:59.636 действие: Энергия корабля уменьшена на 6 единиц, и равна 100 
10.10.2020 07:25:01.264 действие: Энергия корабля увеличена на 20 единиц, и равна 120 

*************************************************************************************

10.10.2020 07:26:11.531 действие: Энергия корабля уменьшена на 7 единиц, и равна 93 
10.10.2020 07:26:12.395 действие: Энергия корабля увеличена на 20 единиц, и равна 113 
10.10.2020 07:26:16.083 действие: Энергия корабля уменьшена на 6 единиц, и равна 107 
10.10.2020 07:26:16.829 действие: Энергия корабля уменьшена на 4 единиц, и равна 103 
10.10.2020 07:26:29.091 действие: Энергия корабля уменьшена на 4 единиц, и равна 99 
10.10.2020 07:26:30.650 действие: Энергия корабля уменьшена на 4 единиц, и равна 95 
10.10.2020 07:26:32.896 действие: Энергия корабля уменьшена на 6 единиц, и равна 89 
10.10.2020 07:26:37.274 действие: Энергия корабля уменьшена на 4 единиц, и равна 85 
10.10.2020 07:26:40.089 действие: Энергия корабля уменьшена на 7 единиц, и равна 78 
10.10.2020 07:26:40.467 действие: Энергия корабля уменьшена на 6 единиц, и равна 72 
10.10.2020 07:26:51.462 действие: Энергия корабля уменьшена на 5 единиц, и равна 67 
10.10.2020 07:26:55.148 действие: Энергия корабля уменьшена на 6 единиц, и равна 61 
10.10.2020 07:26:57.333 действие: Энергия корабля уменьшена на 6 единиц, и равна 55 
10.10.2020 07:27:10.092 действие: Энергия корабля уменьшена на 6 единиц, и равна 49 
10.10.2020 07:27:21.718 действие: Энергия корабля уменьшена на 6 единиц, и равна 43 
10.10.2020 07:27:24.282 действие: Энергия корабля уменьшена на 4 единиц, и равна 39 
10.10.2020 07:27:28.031 действие: Энергия корабля уменьшена на 5 единиц, и равна 34 
10.10.2020 07:27:33.150 действие: Энергия корабля уменьшена на 6 единиц, и равна 28 
10.10.2020 07:27:43.786 действие: Энергия корабля уменьшена на 7 единиц, и равна 21 
10.10.2020 07:27:47.100 действие: Энергия корабля уменьшена на 4 единиц, и равна 17 
10.10.2020 07:27:50.665 действие: Энергия корабля уменьшена на 6 единиц, и равна 11 
10.10.2020 07:27:53.914 действие: Энергия корабля уменьшена на 5 единиц, и равна 6 
10.10.2020 07:27:56.415 действие: Энергия корабля уменьшена на 5 единиц, и равна 1 
10.10.2020 07:28:09.349 действие: Энергия корабля уменьшена на 4 единиц, и равна -3 
10.10.2020 07:28:14.164 действие: Энергия корабля уменьшена на 6 единиц, и равна -9 
10.10.2020 07:28:15.973 действие: Энергия корабля увеличена на 20 единиц, и равна 11 
10.10.2020 07:28:16.284 действие: Энергия корабля уменьшена на 5 единиц, и равна 6 
10.10.2020 07:28:20.224 действие: Энергия корабля увеличена на 20 единиц, и равна 26 
10.10.2020 07:28:20.407 действие: Энергия корабля уменьшена на 5 единиц, и равна 21 

*************************************************************************************

10.10.2020 07:32:05.131 действие: Энергия корабля уменьшена на 100 единиц, и равна 0 
10.10.2020 07:32:11.432 действие: Энергия корабля уменьшена на 100 единиц, и равна -100 
10.10.2020 07:32:15.060 действие: Энергия корабля уменьшена на 100 единиц, и равна -200 
10.10.2020 07:32:15.123 действие: Энергия корабля уменьшена на 100 единиц, и равна -300 

*************************************************************************************

10.10.2020 07:33:48.265 действие: Энергия корабля уменьшена на 100 единиц, и равна 0 

*************************************************************************************

10.10.2020 08:23:23.387 действие: Энергия корабля уменьшена на 5 единиц, и равна 95 

*************************************************************************************

10.10.2020 08:24:11.937 действие: Энергия корабля уменьшена на 1 единиц, и равна 99 
10.10.2020 08:24:11.999 действие: Энергия корабля уменьшена на 1 единиц, и равна 98 
10.10.2020 08:24:12.058 действие: Энергия корабля уменьшена на 1 единиц, и равна 97 
10.10.2020 08:24:12.120 действие: Энергия корабля уменьшена на 1 единиц, и равна 96 
10.10.2020 08:24:12.181 действие: Энергия корабля уменьшена на 1 единиц, и равна 95 
10.10.2020 08:24:12.246 действие: Энергия корабля уменьшена на 1 единиц, и равна 94 
10.10.2020 08:24:12.306 действие: Энергия корабля уменьшена на 1 единиц, и равна 93 
10.10.2020 08:24:12.371 действие: Энергия корабля уменьшена на 1 единиц, и равна 92 
10.10.2020 08:24:12.430 действие: Энергия корабля уменьшена на 1 единиц, и равна 91 
10.10.2020 08:24:12.492 действие: Энергия корабля уменьшена на 1 единиц, и равна 90 
10.10.2020 08:24:12.557 действие: Энергия корабля уменьшена на 1 единиц, и равна 89 
10.10.2020 08:24:12.619 действие: Энергия корабля уменьшена на 1 единиц, и равна 88 
10.10.2020 08:24:12.678 действие: Энергия корабля уменьшена на 1 единиц, и равна 87 
10.10.2020 08:24:12.740 действие: Энергия корабля уменьшена на 1 единиц, и равна 86 
10.10.2020 08:24:12.808 действие: Энергия корабля уменьшена на 1 единиц, и равна 85 
10.10.2020 08:24:12.867 действие: Энергия корабля уменьшена на 1 единиц, и равна 84 
10.10.2020 08:24:12.931 действие: Энергия корабля уменьшена на 1 единиц, и равна 83 
10.10.2020 08:24:12.996 действие: Энергия корабля уменьшена на 1 единиц, и равна 82 
10.10.2020 08:24:13.053 действие: Энергия корабля уменьшена на 1 единиц, и равна 81 
