
*************************************************************************************

09.10.2020 13:41:07.258 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:41:07.319 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:41:07.376 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:41:07.444 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:41:07.505 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:41:07.570 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 

*************************************************************************************

09.10.2020 13:48:08.893 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:08.955 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.018 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.076 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.143 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.202 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.265 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.329 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.392 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.449 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.511 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.576 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.639 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.699 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:09.768 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:10.894 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:10.956 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.021 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.081 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.139 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.201 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.262 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.325 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.390 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.450 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.514 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.577 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.642 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.701 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.769 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.837 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.892 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:11.951 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.021 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.082 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.144 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.206 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.264 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.328 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.399 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.452 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.515 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.584 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.644 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.703 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.769 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.832 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.894 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:12.954 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:13.020 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:13.084 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:13.146 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.144 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.203 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.272 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.332 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.392 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.458 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.517 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.577 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.645 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.714 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.766 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.831 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.896 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:15.954 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.016 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.079 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.145 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.203 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.266 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.333 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.390 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.454 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.517 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.586 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.647 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.703 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.767 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.830 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.895 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:16.955 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:17.018 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:17.082 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:17.142 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:17.206 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:17.274 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:17.333 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:48:17.398 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 

*************************************************************************************

09.10.2020 13:55:00.569 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:00.626 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:00.690 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:00.755 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:00.814 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:00.877 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:00.938 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.000 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.065 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.132 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.194 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.253 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.314 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.381 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.443 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.507 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.572 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.629 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.690 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.750 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.813 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.880 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:01.945 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.005 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.064 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.125 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.195 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.253 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.315 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.380 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.446 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.507 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.566 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.631 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.692 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.751 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:02.819 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:08.826 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:08.886 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:08.943 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.005 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.074 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.137 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:09.202 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
